no-anger	@Flesheater what happened to @sodarnhappy? where did she go?
no-anger	Is warm soy milk and amazake with cocoa powder and agave
anger	when you find out the initiative isn't even a thing 😧 #revenge
no-anger	sAyS: wAtChInG mAtIlDa
anger	@bt_uk broadband is shocking regretting signing up now #angry #shouldofgonewithvirgin
anger	That AK47 leave your spine with a frown
no-anger	@dougiemcfly so which one are you The Good, The Bad or The Ugly
anger	@SlaveGuinevere its more of a little prick than a sting .......... but you have to come to Tennessee to get it1
anger	Cuz even the bible talks about the son coming back with a fiery sword he got from his mother. They just called her a whore in revelations
anger	smh customers getting angry at me bc i aint got no marlboro lights in the gas hut. i called them in 2 hours ago, fuck you.
anger	@o_pebbles Not of this one sadly! 😪
no-anger	@tytel neatza. pe plantatie as usual
anger	@Jack_Septic_Eye Grass growing simulator is offended
anger	im so mad about power rangers. im incensed. im furious.
anger	@FoxNews @SheriffClarke @FoxNewsInsider This man is an affront to our justice system.
anger	jelly baby is my favourite insult
no-anger	He's mixing it up pretty well..using that slider pretty affective so far #thebabybombers #yankees #offense
anger	When you break a record in #madden I wish it didn't say the same shit after every rush like you just broke the record. #shutupphilsimms
anger	@skh4808 @theveteran425FA @TomiLahren Then why'd they wait until now to start getting pissy? 
no-anger	Brake time!! Nothing for lunch. Tonite.
anger	Literally hanging on by a thread need some taylor ray tonight loving a bad dog sucks #taylorrayholbrook #hurting @TaylorRaysTweet
anger	Wont use using @mothercareuk @Mothercarehelp again!! These guys cant get nothing right!! 
anger	@bassekraah. @sunilddesai @jyoti1013 @Archnahr . A2: #irritation and isolation #lifenabler
anger	Michelle, who did NOTHING is hating on Nicole's game hahaha....  #bb18
no-anger	@krithin btw, short notice I know, but we're RSVPing no for your party- thanks so much for the invitation, though!  I'm out for 2nite too
anger	some of the casuals tweets that Vic has faved are making me gag 
anger	@AmericanAir I am irate at you check-in system. I have tried to checkin all day and it wouldn't let me do it because I had no seat assigned
no-anger	I am shy at first.It usually takes me a few minutes to assess the jaw of the people i am hanging out with and then i will act according🤷🏽‍♀️
no-anger	Does Bret have a point? Cena, Balor, sting...
anger	@cameronNewton #colinkaepernick protests because of the unjust murder of #keithlamontscott in North Carolina #injustice  #speakout
no-anger	@KNUSEE *hugs* listening to EBTG &quot;Each &amp; Every One&quot; perfect for public hol Monday morn with cuppa T
anger	#GBBO is such a homely pure piece of tv gold. Channel 4 will attempt to tart it up. Mary, Sue and Mel gone. It's over. I'm out. 👋 
anger	If you sit back, watch &amp; listen to every .@TheDemocrats &amp; .@DNC member, you'll quickly learn it's #Victimhood, #racism, &amp; #hatred. I'm #WOKE
anger	Forever angry that gh ruined Molly and morgan's bond/friendship #bitter
no-anger	Most experts recommend that you exercise up to 90 minutes most days of the week. (two Jillian videos)
no-anger	@mikeyway http://twitpic.com/449yj - If I say &quot;Mystery Science Theatre 3000&quot;, does that mean anything to you?
anger	@SRuhle @MSNBC Sebestian Gorka, what a arrogant A~hole! Has no business speaking! 
anger	How sick must someone be that they wish to 'punish' someone for not being their friend?  #insecure #lonely #miserable #vengeful #RHOC
no-anger	my alarm clock was ringing this morning n my flatmate knocked on my door and asked if i set anything on fire or if i'm burning alive :) :):)
anger	Bloods boiling
no-anger	Alcohol does not promote weight loss.
anger	Who knew softballs could sting so bad? Jimmy Fallon has been under a lot of heat for his &amp;ldquo;softball&amp;rdquo; Donald Trump interview
anger	My mind is raging and i just want to end it all
no-anger	The animosity toward Hillary comes from conspiracy theories and perception, the animosity toward Trump is based on what he says and does.
anger	@ProfessorF @Mediaite @law_newz Childish temper #tantrums are all the left has left. :)
