no-joy	10-Year-Old Girl Battles Rare Breast Cancer  http://bit.ly/JPe9c
joy	Rec'd call 2day from Haitian church we started in Florida some 15yrs ago. Preparing to acquire their own bldg. Wanted me to know. #rejoicing
joy	@stuael Ano man, I'm stunned! At one point our heads were gone and they were scoring at will! #relieved
no-joy	This is not me brown nosing but I've listened to lots of housing ministers but @GavinBarwellMP #nhf16 impressed me more than any #optimism
no-joy	#vwll2009 Would one of the VWLLers want to add this event to our Ning?   http://bit.ly/BF5sh  Would much appreciate that
no-joy	Yesterday , on 21 Sept. 2016 , i installed a new stratagem including audacity by rejoicing at Harbour tower,i will tenaciously follow up up.
no-joy	@kermischocolate I have tried. A cheerful upbeat piece in Walking through History, usually in arty/docu types. Cannot find a trace of it.
no-joy	@ohmyseven @valerie2776 I don't have a subject line on my phone...  just normal texts.
no-joy	Sometimes I watch shitty tv to reinforce never giving up cuz if something is that fucking awful on tv, I still stand a chance. 
no-joy	@krithin btw, short notice I know, but we're RSVPing no for your party- thanks so much for the invitation, though!  I'm out for 2nite too
no-joy	Mon Celtic, give us something to cheer - place is empty, soaked &amp; its my wee nephew's Birthday ffs, started well, now dropped off.
no-joy	Bring back the heyday #NominateBunkface
joy	I turn 25 in two weeks. I am so happy. 24 was my darkest year yet. I am elated that I survived
joy	the thought of you gets me through my day. the thought of your smile never fails at making me smile 💚
no-joy	took a nap at the beach...
joy	A cheerful heart is good medicine, but a crushed spirit dries up the bones. A wicked man accepts a bribe in secret to pervert  justice.
no-joy	Oh that cheery fucking note, good night shit heads X
joy	Watch this amazing live.ly broadcast by @kelli.peterson #lively #musically.   Come WATCH
joy	@nadyaginsburg Thank-you for unfailingly bringing so much joy into my life, you incredibly talented maker of mirth.
no-joy	New Article: http://tinyurl.com/c6mek5. Let me know what you think...
no-joy	@TheWineVault thanks. but it IS seriuosly my back up plan
no-joy	@alooftroye so what you mean to tell me is that.... glee is...... getting less........... gleeful?
joy	Thank you @twitter for the balloons today.  #goodday #48
joy	#BridgetJonesBaby is the best thing I've seen in ages! So funny, I've missed Bridget! #love  #TeamMark
no-joy	Pinterest one dessert... Next thing you know your pinning how to make 27 different visually pleasing mouth watering never gonna make sweets.
joy	I can not depict what I feel right now.. I feel jubilant yet anxious, or..dunno. It seems like now I'm having something worth wait everyday.
joy	@harrietemmett great minds think alike. #rejoice
no-joy	Boys of Fall makes me miss cheering on Friday nights much sooooo bad #bulldogslways🐾
no-joy	Damn I'm tired as hell I never get a off day during the week anymore 😭 I wanna call in so bad but these lil 60 hrs sounds so good.
joy	As I remember and reflect on Reginald Denny on a night much like this (like #Charlotte) I think to myself, the gun lobby must be rejoicing.
no-joy	@malhermann I just made tacos and nachos
no-joy	i miss the jokes and making fun of ppl and throwing ideas for songs, movies, and shows at eachother the most.  that'll never go away...
