sadness	@localblactivist I'm always a little bit weary of speaking up because 1. I don't want to hijack the convo - as an LGBT person, I've seen
no-sadness	@KseniaSolo hi little late to lost girl but think you awesome from South Afrikaans:-)
no-sadness	We can replace #loss with #hope, #hate with #love, #pain with #gain, if we close the window of #bitterness and open doors of #faith. #TryIt
no-sadness	This took a melancholy turn but my point is that for all the difficulties I'm still happy. Happy that I get to be who I am.
sadness	Bare videos online but does anyone get rehabilitated? Does anyone actually get help for their affliction? Or do we jut get twitter videos.
no-sadness	@ilan_peer you ll soon be back  just replace topify email in twitter settings and that s all
sadness	my bls depress the blake
no-sadness	“Dyslexia is the affliction of a frozen genius.”― Stephen Richards
no-sadness	... that's all
sadness	im thoroughly in love w zen and jumin and i dont think id even have the patience for either of them irl im old and weary
sadness	@keyshamackie it's fucking dreadful for live footy matches
no-sadness	Just reached 10k followers - WOW - thanks blues #mcfc #ctid
no-sadness	Playing at September 21, 2016 at 09:30PM: Demetria Taylor  #blues
sadness	Now I'm going to sulk again for a week until #OurGirl is back on! @michkeegan and @benaldridge07 are the best! @OurGirlWatch
sadness	and naoto nod she also like tha bands. but she also frown. 'Will the bands 'Papa Roach' be at concert...?'
sadness	doese reading help depression or is it another form of escapism
sadness	Hate knowing I have to get up at half 5 for gym in the morning it's so depressing
no-sadness	@littlebakaa @AlcohoIPorn give me a smiling emoticon will ya? i dont like the idea of you frowning &gt;.&lt;
sadness	Heart heavy for lost furry family members. Remembering Max and Ozzie. Forever friends as 🐶😇
no-sadness	@CovinoandRich just heard back2back,  guess that's why they call it the blues &amp; she's got the look, but I can only sing tickle sacks version
no-sadness	#Drunk people annoy me when I'm #sober lol. | #fact #TeamFollowBack #RockTheReTweet
sadness	MC: what are you listen to these days?\\nBogum: these days I feel gloomy, I listen to ccm (spiritual song) often.\\n\\nChurch oppa mode. :)
sadness	@mar_de_palabras But I do think we need to experience a bit madness &amp; despair too. This is the stuff that makes us human.
sadness	People were always afraid that stodgy squares would kill rock and roll, but the only legitimate threat was ever child choruses.
sadness	@OnesOwnGrief Just a shame his world was gloom from day one almost.Though it makes sense he'd have the whole part hydra,part s.h.i.e.l.d(c)
sadness	@nigeriaLNG @TonyAttah #lestweforget 3 yrs on, 2013 Graduate Trainee recruitment not concluded. #disappointed #weary however  #wewait
sadness	@thehill George H. Establishment is unhappy Trump's campaign branded his son low-energy, but he could not have beaten the others either.
no-sadness	Never switched up, stayed down this the same person since day one.
sadness	Totally regret signing up with @sprintcare @sprint 
sadness	@thixotropic No. Was so sudden. Hasn't sunk in yet. With Leo I knew it was coming.
no-sadness	Learning how to use twitter #lost
no-sadness	@beIIrkes Es, I'm serious 23/8
no-sadness	@allcash4homes me too
no-sadness	@cherrivarisco @audubonsociety Oh yes, males are colourful and the Females are dull, so that they can blend in to their environment.
no-sadness	@LacesUntied_ yea lol catchy you fret
sadness	Even a pencil✏ never #stayed  with me until it's #end ⚫ 😞
sadness	Literally had a guy (a some-would-say-successful guy) tell me 'this ship will sail' kay guy, first, you're working with a sub, last, it sunk
sadness	i cant stop. i finished - dejected. luckily no one is in the bathroom. so i go to a stall and wait until my pants are dry.
sadness	@marisa_enbot Being with you makes me somewhat gloomy.
sadness	Incredibly shocked and disappointed with @united customer service. Really making me rethink flying with them in the future. #unhappy
no-sadness	@AndrewRatcliffe  they certainly warmed mine
sadness	@SWP_Roads   How dull.
sadness	@maidinaustralia D: That's horrid. *hugs*
no-sadness	@Magrove86Mark @clareftballnews jersey gloves?  #dark
no-sadness	@LiverpoolMich funny you should mention that. I have a full unopened jar of nesscafï¿½ on my cupboard. But no milk
no-sadness	Rockin to  Bob Dylan singin'  Bob Dylan's 115th Dream on LPCO Klassic Rock #classicrock #klassicrock #rocknroll #blues #onlineradio
no-sadness	@rickygervais my first time in Slough so checked out the new station floor  #LifeOnTheRoad
no-sadness	Learning to trust God can quiet a troubled &amp; restless heart, bring peace to a weary soul, &amp; eliminate the hopelessness that #addiction is!
sadness	Should of stayed in Dubai 😞
sadness	@TMobileHelp my service is down in Cleveland, OH. What's going on? #unhappy
sadness	the sad moment when u hand in an exam knowing u failed and grieve by eating and sleeping
sadness	Living with #depression doesn't mean you must be defeated by it\\nevery day's a new day and yesterday doesn't decide what today looks like :-)
sadness	@OzelleM man imagine # Ultra is promoting carnival. I think u need to be the chairperson #serious. Cause am hearing nothing
sadness	Our soldiers in war zones are held to a higher level of rules of engagement than our police officers. #sad
no-sadness	@hollloman @nessa_babbby @ajvannozzi97 As half a set of twins I resent that!
no-sadness	Negghead mix on the air!   http://tinyurl.com/ckdwao
sadness	@LdhranOusby @RobHarris inclined to think that 'documentary' did him more harm than good. If not I despair of people's critical faculties.
no-sadness	@bbheaven
no-sadness	Movie and popcorn time
no-sadness	Did men call themselves shy and mean it? So I reassure him that I'm just making sure he's a good investment and alla that 🙄
sadness	Probs spent a grand total of five minutes sober since Sunday evening :) #freshers
no-sadness	@andyfleming83 Bastard squirrels. 😡
sadness	I feel exhausted ...\\nI tried to do a good job, but apparently God does not see me right. I'm weary! I EXIST! 😟💔📢\\n#exist #weary #misonorotta
sadness	This weather got me fucked up. Like you either be sunny and hot or gloomy and cold. No in between.
no-sadness	Happy Mother's Day - Happy Motherï¿½s Day  http://tumblr.com/xnx1qyn0j
sadness	Damn I lost my keys and I forgot to get the garage opener
sadness	Someone needs to tell Candice she'll be stuck with that shitty pout if the wind changes. #GBBO
no-sadness	That house on #GrandDesigns isn't in a forest it's in a wibbly wobbly pine plantation
no-sadness	@DavidWMagee ah. I lived all over the Baltimore/DC suburbs the last 5 yes then finally made it back to my home state
no-sadness	The man who is a pessimist before 48 knows too much; if he is an optimist after it, he knows too little.'\\n-Mark Twain
sadness	Patti seems so sad. She stamped and ran behind the sofa. We will have to give her plenty of love and affection...more than usual. #sad
no-sadness	This pretentious dick in Night Gallery just fucking, used a towel to dry off his sink
sadness	Hey @NHSEngland imagine being blue lighted to hospital unable to breathe only to be dumped in a cubicle and not seen for 4 hours #horrendous
no-sadness	How come quiet well behaved cats and dogs have to ride on a plane in a tiny bag while screaming small humans roam free? #outrage #teampet
no-sadness	you are on an endless journey of figuring yourself out; don't be discouraged when you don't know who you are yet.
no-sadness	@coollike http://twitpic.com/4jg09 - looks exactly like I do when I get that GH guitar in my hand
no-sadness	Folk Band 'Thistle Down' will be replaced by 'The Paul Edwards Quartet' at Laurel Bank Park Sat 24 11am - 3pm due to ill health #jazz #blues
no-sadness	@clocsen I accept the blame . But I said &quot;in English&quot; (the language), couldn't say &quot;in British&quot;, could I ?
sadness	Feeling #gloomy
sadness	Fucking gutted, disheartened &amp; so pissed off.Gone from 1 off the toughest most resolute defences to the worst &amp; most shambolic #SCFC #STOHUL
no-sadness	From what I know of the man, I have to assume that @realDonaldTrump has had a heated argument with his own penis. 
no-sadness	@limegreenmodern I will take a pic for you
sadness	Sometimes The Worst Place You Can Be Is In Your Own Head.'\\n\\n#quotes #worstenemy #depression #thinktoomuch
sadness	@stevesingiser @POLITICO_Steve Put a damper on my mood.
no-sadness	California sissified pages: ruling class separation in passage to dispirit attestative alphanumeric code: WyrdljPyu
no-sadness	need to sta dating again.I m bored #redheadteen #boldandbeautiful #lost #500aday single men dating Schkeuditz
no-sadness	@BluesfestByron second artist announcement looking good #bluesfest2017 #blues #Music #byronbay
no-sadness	@who_cares_nvm The destroying of my memory is my goal so ECT might work. Or a zapper thingy like in Men in Black. Or Dumbledore's pensive.
no-sadness	LOL! @TheFrankJLopes was just awarded the “F” bomb trophy on #AutoDealerLive, @RealMatKoenig :) #serious
no-sadness	How many tweets is that now? How fast was I going? God, I love being #sober and #intelligent.
no-sadness	@Conorojo Loool understand the pessimism but it will 😂
sadness	Sometimes it takes #sadness to know happiness, #noise to appreciate #silence and absence to value presence.
no-sadness	ROFL.. okay I dont know. but Kristin still isnt here
no-sadness	@Ihnatko Huh. I'll have to try that (for no other reason then just to try it
sadness	Can't Talk To An Incompetent Person. Goes In One Ear and Out The Other. #irritated #NoPoint #MassiveEyeRoll
no-sadness	The @Orioles are in contention and hosting @RedSox nation and Camden is empty 
no-sadness	#AskAMan but this does not sound like a #serious issue, cause siyahleka the whole time, just having fun
sadness	Don't fucking tag me in pictures as 'family first' when you cut me out 5 years ago. You're no one to me. 
sadness	@DxfyingGrxvity - that were rather forlorn, scanning the witches house before resting back on Elphie. 'The Grimmerie is gone.'
sadness	@KatHeartwell some don't see the difference between courting and appealing to a women vs deception &amp; pressure it's depressing
sadness	as a very depressed and suicidal person seeing someone sing about their own depressing life yet having fun is very relatable and encouraging
sadness	@alisontis otherwise you're committing a crime against your soul only sober ppl know what is good or bad for themselves
no-sadness	Kudos to TC for benching Bruce. He isn't helping the team, so he rides pine. We have games to win. Discussion over. #Mets
no-sadness	@almurray hit the sink with a hammer... sorry, the universal modifier!
sadness	@Gervaisoholic But this is no easy ride for a child cries: \\n'Oh, find me...find me, nothing more, \\nWe are on a sullen misty moor...'
no-sadness	Drinkin me some red wine &amp; listening to some fred mcdowell playing the #blues . He did not play no #rocknroll. Fantastic noise  #justsaying
no-sadness	@rihaBabyJ Aw no problem. I just felt like speaking because I felt the same before and I want you to overcome it and not be discouraged. :)
sadness	The underground at Waterloo is not a nice place to be at 8.30am on a Thursday #somanypeople #grim
sadness	tomorrow will be the last episode of despair arc, so much shit is gonna happen i'm not emotionally prepared...
sadness	It's such a strange juxtaposition of emotions. A sense of euphoria but a sense of out most despair.
no-sadness	y'all don't understand. this woman's wrath is REAL. 🌹🖤
sadness	I'd rather laugh with the rarest genius, in beautiful alliance with his own being, where he kept his sadness. #melancholy
sadness	Well my evaluation came back and i am minimally effective. Student test scores on the PARCC sunk my eval. it's time for me to quit teaching
sadness	RM will win the game at the last minutes and Madridistas will say Cules stayed this long watching RM win at the end. Disgusting fanbase
no-sadness	http://tinyurl.com/cyonct vote for Rob
sadness	@faye_catherine happy anger sad melancholy confusion #woodspurge
no-sadness	It's rained every day since June 30. That's 13 #dreary, #soggy days in a row. #auckland
no-sadness	Hello my dear friends, I will be back online this Friday night. I miss you! #sober #sobriety #recovery
no-sadness	Folk Band 'Thistle Down' will be replaced by 'The Paul Edwards Quartet' at Laurel Bank Park Sat 24 11am - 3pm due to ill health #jazz 
no-sadness	Blessed are those who mourn, for they will be comforted \\n                                              Mt 5:4
sadness	the thing with Twitter is i only remember to tweet when i'm bored or alone and then it comes across like i have a really dull and sad life.👽
no-sadness	Unmatched Party Specialist /co @T3RevNeverEnd #serious #job #titles
sadness	@TalesofanAlfa @David_Milloy \\nI like your thinking...but sadly no - that's the shed 😢
no-sadness	Filling out paperwork.
sadness	I want to pour all my tears on someone right now. So tired of this #upset 
no-sadness	@TheCatHeSay I may be #alwayshungry but I haven't sunk that low yet!! @Thereluctantcat
no-sadness	you've got to read it downwards for it to make sense.
no-sadness	@Barcabhoy1 Of course not. Didn't sink his studs into a knee like Forrester
no-sadness	@kerryisonfire ive finished them now
no-sadness	@grantarnow WHY DIDNT I SEE YOU?
sadness	@FoxNews Very thought provoking &amp; leads one to question what really happened.Very sad for all.
no-sadness	@insaneboingo Oh, he's hilarious. I'm just commenting on the fact that he's there so much.
sadness	@macmacm43 jeezus God #dark
no-sadness	Through the Fire and Flames - Dragonforce
sadness	Overwhelming sadness.  This too shall pass. #lost #lonley #startingover
no-sadness	@Dhazza hehe sure thing
no-sadness	@Lionel_richie I also saw u on American Idol great performance, I see u will be at Windsor in June 20 Commodores won't be there
sadness	#COINCIDENCE??? When you turn on the TV, etc.&amp; listen &amp; watch, the objective is to #CaptureYourMind with #fear &amp; #depression. #FindGODNow!!!
sadness	This prison is awfully gloomy. Would you mind if I put some ribbons on the bars?
sadness	@Fra93_bruno wow I'm just really sadden by that. Terrible
sadness	@British_Airways In your Concorde Lounge in Terminal 7 JFK. So saddened to have to say, service so far is dismal. Don't expect a reply.
no-sadness	Should be moving in to my apartment but 14 mile bike ride and ice cream instead
no-sadness	Interview preparation, I hate talking about myself, one dull subject matter! #yawnoff
sadness	Dylon felt dejected. He has a dejected aunt!
no-sadness	@BoardEveryday @turnorder @pinchback21 80s new wave/techno - or jazz / blues depending my mood
no-sadness	I'm back on Twitter! #madden #madden18 #maddenmobile #ea #nfl #espn #packers
no-sadness	“The immense importance of football is sometimes scary. When you don’t win you are responsible for so many unhappy people.” - Arsene Wenger
no-sadness	@SteveLangton Yes, they clearly relished acting together, sparking off each other's performance. And milking all the laughs!
sadness	@JeffBezos @amazon Who can I talk to about being terminated with no answer and not being paid for hours I worked? ERC have no answers 
sadness	Texans and Astros both shut out tonight. Houston, we're back to normal. #texans #Astros #sadness #losers
sadness	@MariamVeiszadeh #depressing it's so freaking close !
no-sadness	@hyattd335 #Grateful for #novel #award #promo #RT - #Blessings DeWayne Hyatt #Hippie who loves to grind on the #blues #Florida
no-sadness	@emmajckson awe thank you (,:
sadness	@MCHorseFayse @bockaguyjim @generalgoodsman @nevernotdavid so you were owned by losers on Twitter #sad
sadness	Literally hanging on by a thread need some taylor ray tonight loving a bad dog sucks #taylorrayholbrook #hurting @TaylorRaysTweet
sadness	So I tried to give her time to sober up, while waiting at the our friend's house. 2 hours later, gal wake up out her nap to vomit again.
no-sadness	@VogueChic http://tinyurl.com/64ozr7 :: from Ate Kaila Ocampo  of the.rainbowholic.me&amp;&amp;eerie-silence.net
sadness	I saw someone discourage someone from following their dreams. Just because you want to live in mediocrity doesn't mean someone else should.
sadness	@againstallaudss @groovydadad @Thelostchild5 @MHChat indeed &amp; is sadness unavoidable? #MHChat
no-sadness	O, the melancholy Catacombs quickly wandered about the Rue Morgue, Madman!
no-sadness	@eben4u #stayed on you...makes you appreciate love worshiping....All i want to do is worship you!!
no-sadness	Try Holy Cow! Serious Sauces! Use Himalayan Hot Garlic in pasta...yummy!! Introductory offer 99p in ASDA! www.holycowfc.com
sadness	Shame the cashback @mbna @AmexUK credit card comes to an end. I used to look forward to that end of year bonus. Sad really. #cashback 
sadness	Lost without my Mom 😢 plus tired, sick and full of cold is just another day in paradise..... #upset #unwell #missyoumommybear 💖💖
no-sadness	@sandy195850 Bit of sunshine out there and it perks us all up  Especially when you have a mountain of towels to wash and get dry!
no-sadness	+ cant get to tell them what will offend them or not
